County,State,gisjoin,Obama 2012 %,Romney 2012 %,Other 2012 %,Obama 2012 Margin %,Obama 2-Party Margin,Clinton 2016 %,Trump 2016 %,Other 2016 %,Clinton 2016 Margin %,Clinton 2-Party Margin,2012 to 2016 Swing,2012 to 2016 2-Party Swing
Rusk,Texas,G4804010,0.239997843,0.75078184,0.009220317,-0.510783997,-0.515537415,0.207170686,0.772612404,0.020216911,-0.565441718,-0.577109081,-0.054657722,-0.061571666
Sabine,Texas,G4804030,0.176277851,0.814110966,0.009611184,-0.637833115,-0.644022938,0.132014621,0.859600086,0.008385293,-0.727585466,-0.733738075,-0.089752351,-0.089715137
San Augustine,Texas,G4804050,0.323306233,0.669105691,0.007588076,-0.345799458,-0.348443474,0.254973382,0.734659569,0.01036705,-0.479686187,-0.484711212,-0.133886729,-0.136267738
San Jacinto,Texas,G4804070,0.25062396,0.739080699,0.010295341,-0.488456739,-0.49353788,0.197041477,0.779174321,0.023784202,-0.582132844,-0.596315737,-0.093676105,-0.102777858
San Patricio,Texas,G4804090,0.391274031,0.597918119,0.010807849,-0.206644088,-0.208901868,0.363455855,0.601680828,0.034863317,-0.238224972,-0.246830295,-0.031580884,-0.037928427
San Saba,Texas,G4804110,0.142983621,0.843293493,0.013722886,-0.700309872,-0.71005386,0.124310564,0.859142978,0.016546457,-0.734832414,-0.747195859,-0.034522542,-0.037141999
Schleicher,Texas,G4804130,0.217305801,0.773844641,0.008849558,-0.55653884,-0.561507937,0.196411709,0.775259679,0.028328612,-0.57884797,-0.595724004,-0.02230913,-0.034216067
Scurry,Texas,G4804150,0.166699821,0.820370002,0.012930177,-0.653670181,-0.662232971,0.138589525,0.833806013,0.027604462,-0.695216487,-0.714952363,-0.041546306,-0.052719392
Shackelford,Texas,G4804170,0.096111519,0.893617021,0.01027146,-0.797505503,-0.805782061,0.068484043,0.916223404,0.015292553,-0.847739362,-0.860904794,-0.050233859,-0.055122733
Shelby,Texas,G4804190,0.250107712,0.740952176,0.008940112,-0.490844464,-0.495272253,0.193484482,0.790116663,0.016398855,-0.596632181,-0.606579389,-0.105787718,-0.111307136
Sherman,Texas,G4804210,0.116570328,0.874759152,0.00867052,-0.758188825,-0.764820214,0.102673797,0.863101604,0.034224599,-0.760427808,-0.787375415,-0.002238983,-0.022555202
Smith,Texas,G4804230,0.269544353,0.720229645,0.010226002,-0.450685293,-0.455341617,0.26307097,0.695191582,0.041737448,-0.432120612,-0.45094177,0.018564681,0.004399847
Somervell,Texas,G4804250,0.17326173,0.81147541,0.01526286,-0.63821368,-0.648105626,0.138824737,0.822684116,0.038491147,-0.683859379,-0.711235655,-0.045645699,-0.063130029
Starr,Texas,G4804270,0.863418329,0.13018598,0.006395691,0.733232349,0.737952062,0.791226576,0.189437819,0.019335605,0.601788756,0.61365413,-0.131443592,-0.124297932
Stephens,Texas,G4804290,0.139214537,0.847596718,0.013188746,-0.708382181,-0.717849718,0.100548974,0.876625253,0.022825773,-0.776076279,-0.794204613,-0.067694098,-0.076354895
Sterling,Texas,G4804310,0.062753036,0.929149798,0.008097166,-0.866396761,-0.873469388,0.110584518,0.867298578,0.022116904,-0.75671406,-0.773828756,0.109682701,0.099640632
Stonewall,Texas,G4804330,0.237037037,0.751111111,0.011851852,-0.514074074,-0.52023988,0.192582026,0.791726106,0.015691869,-0.59914408,-0.608695652,-0.085070006,-0.088455772
Sutton,Texas,G4804350,0.247817327,0.745466756,0.006715917,-0.497649429,-0.501014199,0.221045198,0.759180791,0.019774011,-0.538135593,-0.548991355,-0.040486164,-0.047977156
