FIPS,gisjoin,state,county,total_votes,dem_margin,CVAP,median_age,bachelor %,median_income,rural %,white %,black %,native %,asian %,hispanic %,evangelical,protestant,catholic,mormon
37051,G3700510,North Carolina,Cumberland,127641,0.196848975,226280,30.9,0.223814112,45413,0.134,0.512064699,0.355952802,0.010694715,0.020063638,0.06967032,0.2856,0.08439,0.02794,0.016519
37053,G3700530,North Carolina,Currituck,11304,-0.348018401,17770,41,0.173945044,57446,0.983,0.899549803,0.062746201,0.002813731,0.005064716,0.018289252,0.191189,0.06842,0.01232,0
37055,G3700550,North Carolina,Dare,17974,-0.158840548,26000,43.5,0.306712963,55780,0.29,0.941153846,0.038653846,0.000153846,0.000961538,0.014615385,0.118599,0.188969,0.0515,0.0115
37057,G3700570,North Carolina,Davidson,70935,-0.405427504,118885,40.4,0.171693507,44318,0.474,0.877823106,0.088867393,0.004500147,0.00643479,0.017874416,0.201719,0.17211,0.014809,0
37059,G3700590,North Carolina,Davie,20670,-0.433091437,30410,42.6,0.247628973,51844,0.703,0.903156856,0.067412036,0.002301874,0.003781651,0.018908254,0.250699,0.184479,0.054947,0
37061,G3700610,North Carolina,Duplin,20592,-0.115724553,38075,37.4,0.110233774,33896,0.865,0.647275115,0.298621143,0.001444517,0.001444517,0.045042679,0.19284,0.071379,0.005379,0.00473
37063,G3700630,North Carolina,Durham,146735,0.52785634,183025,33.4,0.44738449,50997,0.056,0.508837591,0.400901516,0.003005054,0.03332878,0.036579702,0.21377,0.10854,0.03913,0.00658
37065,G3700650,North Carolina,Edgecombe,26972,0.362005042,41490,40,0.103556932,33917,0.453,0.413352615,0.565316944,0.001446132,0.001084599,0.01000241,0.30772,0.054179,0.00815,0
37067,G3700670,North Carolina,Forsyth,174069,0.072126571,245125,37.3,0.316246573,45809,0.073,0.676919939,0.26963794,0.002223355,0.011239164,0.031942886,0.286379,0.1694,0.0433,0.00867
37069,G3700690,North Carolina,Franklin,28389,-0.041107471,43935,39.8,0.154640689,42920,0.853,0.680778423,0.273244566,0.00557642,0.006828269,0.021850461,0.31262,0.040369,0.008589,0
37071,G3700710,North Carolina,Gaston,90483,-0.253826686,151075,38.8,0.180081963,43220,0.196,0.813867285,0.143703459,0.004269403,0.008042363,0.021942744,0.412899,0.10028,0.028697,0.00575
37073,G3700730,North Carolina,Gates,5396,0.041141586,9190,42.4,0.116077866,45136,1,0.63601741,0.343852013,0.002176279,0.002720348,0.007616975,0.414689,0.061649,0,0
37075,G3700750,North Carolina,Graham,3947,-0.413225234,6755,42.7,0.129091211,32137,1,0.934122872,0.007401925,0.038490007,0.00296077,0.004441155,0.321519,0.03307,0.010834,0
37077,G3700770,North Carolina,Granville,26275,0.045404377,44460,39.9,0.157188763,49893,0.57,0.613585245,0.348740441,0.005510571,0.003148898,0.025078722,0.33729,0.056799,0.009929,0
37079,G3700790,North Carolina,Greene,8236,-0.076857698,15285,38.1,0.116051762,40833,1,0.540399084,0.396794243,0.00850507,0.002289827,0.047105005,0.148159,0.06601,0,0
37081,G3700810,North Carolina,Guilford,253852,0.163780471,349405,36.4,0.330157345,46223,0.127,0.612884761,0.324966729,0.004908344,0.023897769,0.022166254,0.232139,0.15181,0.041416,0.010189
37083,G3700830,North Carolina,Halifax,26079,0.322596725,41575,41.9,0.117308567,31614,0.547,0.420565244,0.511004209,0.032110643,0.004810583,0.007937462,0.296589,0.09098,0.008369,0.00629
37085,G3700850,North Carolina,Harnett,43415,-0.189657952,79310,33.5,0.175567414,44242,0.559,0.710313958,0.212016139,0.008384819,0.008321775,0.045328458,0.2309,0.0715,0.007799,0.004429
37087,G3700870,North Carolina,Haywood,27974,-0.135840423,46780,45.7,0.224573726,42089,0.554,0.960880718,0.010260795,0.005130398,0.002458316,0.014749893,0.52421,0.160409,0.02036,0.00678
37089,G3700890,North Carolina,Henderson,52392,-0.273934952,79775,45.3,0.278330835,46503,0.333,0.924537763,0.031776872,0.003760577,0.007395801,0.026073331,0.33573,0.10253,0.059294,0.007139
37091,G3700910,North Carolina,Hertford,10918,0.442938267,18730,40.9,0.148636607,33412,0.686,0.376134544,0.592899092,0.012546717,0.004004271,0.00373732,0.287689,0.037979,0.00507,0.00511
37093,G3700930,North Carolina,Hoke,17089,0.190590438,31505,30.8,0.164097222,46900,0.432,0.453261387,0.350896683,0.090144422,0.010315823,0.067925726,0.141289,0.04,0.015529,0
37095,G3700950,North Carolina,Hyde,2383,-0.012589173,4500,40,0.131801693,43608,1,0.617777778,0.362222222,0.007777778,0,0.013333333,0.05749,0.12668,0,0
37097,G3700970,North Carolina,Iredell,76365,-0.304105284,114255,39,0.229619973,50058,0.379,0.834011641,0.119119513,0.002450659,0.012647149,0.02533806,0.281009,0.13571,0.059503,0.011539
37099,G3700990,North Carolina,Jackson,16701,-0.009520388,31740,36.6,0.270207397,36403,0.731,0.86389414,0.021266541,0.075614367,0.005513548,0.019061122,0.339199,0.09498,0.031735,0.01331
37101,G3701010,North Carolina,Johnston,76691,-0.275612523,112460,36.6,0.199185135,50132,0.52,0.78876934,0.158145118,0.003245598,0.003734661,0.035034679,0.244949,0.0757,0.025239,0.00588
37103,G3701030,North Carolina,Jones,5230,-0.092734226,7730,44.4,0.113136655,36460,1,0.650711514,0.333117723,0.003880983,0.001293661,0.005174644,0.18083,0.081849,0,0
37105,G3701050,North Carolina,Lee,24239,-0.097239985,38005,37.6,0.200398699,45284,0.428,0.720431522,0.215761084,0.006051835,0.00644652,0.044730956,0.258269,0.13986,0.058789,0.020199
37107,G3701070,North Carolina,Lenoir,28086,-0.001139358,43530,41,0.140821334,34440,0.45,0.563519412,0.400528371,0.00275672,0.002641856,0.01906731,0.33949,0.123719,0.007799,0.02476
37109,G3701090,North Carolina,Lincoln,36775,-0.387301156,57115,40.8,0.192968837,50065,0.546,0.912282238,0.057340453,0.001750854,0.004202048,0.018033791,0.313279,0.18055,0.028149,0.00831
37111,G3701110,North Carolina,McDowell,18099,-0.3173656,34300,41.8,0.143350605,36388,0.703,0.926822157,0.041107872,0.003206997,0.007434402,0.017346939,0.347899,0.053469,0.010223,0.008849
37113,G3701130,North Carolina,Macon,16861,-0.303837258,26275,48.4,0.204316433,38134,0.8,0.95432921,0.011227402,0.003235014,0.004947669,0.02036156,0.486,0.132889,0.037144,0.00923
37115,G3701150,North Carolina,Madison,10113,-0.090972016,16425,43.6,0.181774415,38658,0.906,0.964079148,0.016133942,0.003957382,0.001826484,0.007001522,0.56661,0.042429,0.013196,0
37117,G3701170,North Carolina,Martin,12652,0.046474866,18560,44.1,0.119625073,35585,0.781,0.554418103,0.426724138,0.004579741,0.00080819,0.007273707,0.34462,0.099,0.01555,0
37119,G3701190,North Carolina,Mecklenburg,448900,0.224089998,613170,34,0.403335244,55961,0.011,0.597330267,0.317660681,0.003147577,0.028010177,0.040991895,0.222139,0.15087,0.085569,0.008259
37121,G3701210,North Carolina,Mitchell,7765,-0.511010947,12330,45.3,0.166754804,36276,0.826,0.96674777,0.00973236,0.00081103,0.002027575,0.017437145,0.62937,0.07375,0.012709,0
37123,G3701230,North Carolina,Montgomery,11231,-0.151188674,19310,39.7,0.14645577,32798,0.768,0.746504402,0.205334024,0.004660798,0.011134127,0.030554117,0.26523,0.111049,0.024498,0
